ner_tag,id,token,Label
O,0,millions,O
O,0,family-run,O
O,0,#farms,O
O,0,hold,O
O,0,key,O
O,0,global,O
O,0,#hunger,O
O,0,reveals,O
B-ORG,0,#un,ORG
O,0,report,O
O,0,http://t.co/9jkaxcmkj0,O
end,1,end,O
O,1,cousin,O
B-PER,1,reeva,PER
I-PER,1,steenkamp,PER
O,1,says,O
B-PER,1,#pistorius,PER
O,1,pay,O
O,1,http://t.co/7gsdzwfjj6,O
end,2,end,O
O,2,icymi,O
B-ORG,2,@,ORG
B-ORG,2,4corners,ORG
B-ORG,2,@,ORG
B-ORG,2,flipboard,ORG
O,2,magazine,O
O,2,program,O
O,2,fat,O
O,2,chance,O
O,2,https://t.co/t88bge2ctl,O
O,2,http://t.co/snoxagolwh,O
end,3,end,O
O,3,returning,O
B-LOC,3,kobane,LOC
O,3,18yo,O
O,3,woman,O
O,3,fleeing,O
B-ORG,3,islamic,ORG
I-ORG,3,state,ORG
O,3,detained,O
B-LOC,3,turkish,LOC
O,3,authorities,O
O,3,ejected,O
O,3,warzone,O
O,3,http://t.co/auzjpjeckh,O
end,4,end,O
B-ORG,4,cfmeu,ORG
O,4,whistleblowers,O
O,4,claim,O
O,4,bullied,O
O,4,raising,O
O,4,corruption,O
O,4,concerns,O
O,4,union,O
O,4,chiefs,O
O,4,http://t.co/abydsimhqi,O
end,5,end,O
O,5,exercising,O
O,5,times,O
O,5,week,O
O,5,cuts,O
O,5,depression,O
O,5,risk,O
O,5,16,O
O,5,cent,O
O,5,scientists,O
O,5,find,O
O,5,http://t.co/srrfokvuu8,O
O,6,http://t.co/j7axf8skjl,O
end,7,end,O
B-ORG,7,coles,ORG
O,7,taken,O
O,7,court,O
B-ORG,7,accc,ORG
O,7,allegedly,O
O,7,bullying,O
O,7,suppliers,O
O,7,boost,O
O,7,earnings,O
O,7,http://t.co/rh3l8ibgza,O
end,8,end,O
B-LOC,8,australia,LOC
O,8,unlikely,O
O,8,send,O
O,8,medics,O
B-LOC,8,west,LOC
I-LOC,8,africa,LOC
O,8,fight,O
O,8,#ebola,O
O,8,http://t.co/d26dkdhz9z,O
end,9,end,O
O,9,category,O
O,9,hurricane,O
O,9,gonzalo,O
O,9,threatens,O
O,9,deluge,O
B-LOC,9,bermuda,LOC
B-LOC,9,bahamas,LOC
O,9,wreak,O
O,9,devastating,O
O,9,damage,O
O,9,http://t.co/ntx3tdpsi6,O
end,10,end,O
B-PER,10,tony,PER
I-PER,10,abbott,PER
O,10,reluctant,O
O,10,send,O
B-LOC,10,australians,LOC
O,10,#ebola,O
O,10,hotspots,O
O,10,http://t.co/x5do181lht,O
end,11,end,O
I-ORG,11,network,ORG
O,11,declares,O
O,11,major,O
O,11,full-year,O
O,11,loss,O
O,11,168,O
O,11,million,O
O,11,advertising,O
O,11,revenue,O
O,11,stalls,O
O,11,http://t.co/dkh7rhkwmn,O
end,12,end,O
B-PER,12,neil,PER
I-PER,12,patrick,PER
I-PER,12,harris,PER
O,12,host,O
O,12,2015,O
O,12,academy,O
O,12,awards,O
O,12,ceremony,O
O,12,http://t.co/fjebuomnyz,O
end,13,end,O
O,13,japanese,O
O,13,cuisine,O
O,13,attack,O
O,13,western,O
O,13,food,O
O,13,chefs,O
O,13,fight,O
O,13,school,O
O,13,programs,O
O,13,http://t.co/ofgirludix,O
O,14,http://t.co/4wrdjebdik,O
end,15,end,O
O,15,global,O
O,15,markets,O
O,15,slump,O
B-LOC,15,wall,LOC
I-LOC,15,street,LOC
O,15,volatility,O
O,15,index,O
O,15,jumps,O
O,15,highest,O
O,15,level,O
O,15,2011,O
O,15,http://t.co/giqefjmaem,O
end,16,end,O
B-PER,16,baby,PER
I-PER,16,ferouz,PER
O,16,family,O
O,16,fight,O
O,16,visa,O
O,16,refusal,O
O,16,http://t.co/pwwnnhk02p,O
end,17,end,O
B-ORG,17,u,ORG
I-ORG,17,2,ORG
O,17,frontman,O
B-PER,17,bono,PER
O,17,says,O
O,17,oops,O
O,17,sorry,O
B-ORG,17,u,ORG
I-ORG,17,2,ORG
O,17,album,O
O,17,download,O
O,17,debacle,O
O,17,complaints,O
B-ORG,17,apple,ORG
O,17,itunes,O
O,17,users,O
O,17,http://t.co/6vvsh766r0,O
end,18,end,O
B-LOC,18,pentagon,LOC
O,18,says,O
O,18,fighters,O
O,18,threaten,O
B-LOC,18,kobane,LOC
O,18,despite,O
O,18,hundreds,O
O,18,killed,O
O,18,us-led,O
O,18,air,O
O,18,strikes,O
O,18,http://t.co/yzf2d1obgl,O
end,19,end,O
O,19,astronauts,O
O,19,race,O
O,19,clock,O
O,19,spacewalk,O
O,19,repairs,O
B-LOC,19,international,LOC
I-LOC,19,space,LOC
I-LOC,19,station,LOC
O,19,http://t.co/s5fwu7h6dx,O
end,20,end,O
O,20,salmonella,O
O,20,food,O
O,20,poisoning,O
O,20,cases,O
O,20,increasing,O
O,20,despite,O
O,20,education,O
O,20,campaigns,O
B-ORG,20,anu,ORG
O,20,study,O
O,20,http://t.co/rcym35gilv,O
O,21,http://t.co/u17fv7khir,O
end,22,end,O
O,22,sacked,O
B-PER,22,liberal,PER
O,22,adviser,O
B-PER,22,don,PER
I-PER,22,coulson,PER
O,22,makes,O
O,22,mp,O
O,22,porn,O
O,22,ring,O
O,22,allegations,O
O,22,http://t.co/q730zrptic,O
end,23,end,O
B-LOC,23,china,LOC
O,23,influence,O
O,23,australian,O
O,23,chinese-language,O
O,23,media,O
O,23,outlets,O
O,23,growing,O
O,23,analysts,O
O,23,http://t.co/yfsxuoohe3,O
end,24,end,O
O,24,good,O
O,24,morning,O
B-ORG,24,twitter,ORG
O,24,hope,O
O,24,fantastic,O
O,24,thursday,O
end,24,end,O
B-LOC,24,south,LOC
I-LOC,24,australian,LOC
O,24,jockey,O
B-PER,24,caitlin,PER
I-PER,24,forrest,PER
O,24,killed,O
O,24,fall,O
B-LOC,24,murray,LOC
I-LOC,24,bridge,LOC
O,24,race,O
