ner_tag,id,token
end,1,end
O,1,cousin
B-PER,1,reeva
I-PER,1,steenkamp
O,1,says
B-PER,1,#pistorius
O,1,pay
O,1,http://t.co/7gsdzwfjj6
end,2,end
O,2,icymi
B-ORG,2,@
B-ORG,2,4corners
B-ORG,2,@
B-ORG,2,flipboard
O,2,magazine
O,2,program
O,2,fat
O,2,chance
O,2,https://t.co/t88bge2ctl
O,2,http://t.co/snoxagolwh
end,7,end
B-ORG,7,coles
O,7,taken
O,7,court
B-ORG,7,accc
O,7,allegedly
O,7,bullying
O,7,suppliers
O,7,boost
O,7,earnings
O,7,http://t.co/rh3l8ibgza
end,8,end
B-LOC,8,australia
O,8,unlikely
O,8,send
O,8,medics
B-LOC,8,west
I-LOC,8,africa
O,8,fight
O,8,#ebola
O,8,http://t.co/d26dkdhz9z
end,9,end
O,9,category
O,9,hurricane
O,9,gonzalo
O,9,threatens
O,9,deluge
B-LOC,9,bermuda
B-LOC,9,bahamas
O,9,wreak
O,9,devastating
O,9,damage
O,9,http://t.co/ntx3tdpsi6
end,10,end
B-PER,10,tony
I-PER,10,abbott
O,10,reluctant
O,10,send
B-LOC,10,australians
O,10,#ebola
O,10,hotspots
O,10,http://t.co/x5do181lht
end,11,end
I-ORG,11,network
O,11,declares
O,11,major
O,11,full-year
O,11,loss
O,11,168
O,11,million
O,11,advertising
O,11,revenue
O,11,stalls
O,11,http://t.co/dkh7rhkwmn
end,12,end
B-PER,12,neil
I-PER,12,patrick
I-PER,12,harris
O,12,host
O,12,2015
O,12,academy
O,12,awards
O,12,ceremony
O,12,http://t.co/fjebuomnyz
end,13,end
O,13,japanese
O,13,cuisine
O,13,attack
O,13,western
O,13,food
O,13,chefs
O,13,fight
O,13,school
O,13,programs
O,13,http://t.co/ofgirludix
end,16,end
B-PER,16,baby
I-PER,16,ferouz
O,16,family
O,16,fight
O,16,visa
O,16,refusal
O,16,http://t.co/pwwnnhk02p
end,17,end
B-ORG,17,u
I-ORG,17,2
O,17,frontman
B-PER,17,bono
O,17,says
O,17,oops
O,17,sorry
B-ORG,17,u
I-ORG,17,2
O,17,album
O,17,download
O,17,debacle
O,17,complaints
B-ORG,17,apple
O,17,itunes
O,17,users
O,17,http://t.co/6vvsh766r0
end,18,end
B-LOC,18,pentagon
O,18,says
O,18,fighters
O,18,threaten
B-LOC,18,kobane
O,18,despite
O,18,hundreds
O,18,killed
O,18,us-led
O,18,air
O,18,strikes
O,18,http://t.co/yzf2d1obgl
end,20,end
O,20,salmonella
O,20,food
O,20,poisoning
O,20,cases
O,20,increasing
O,20,despite
O,20,education
O,20,campaigns
B-ORG,20,anu
O,20,study
O,20,http://t.co/rcym35gilv
O,21,http://t.co/u17fv7khir
end,22,end
O,22,sacked
B-PER,22,liberal
O,22,adviser
B-PER,22,don
I-PER,22,coulson
O,22,makes
O,22,mp
O,22,porn
O,22,ring
O,22,allegations
O,22,http://t.co/q730zrptic
end,23,end
B-LOC,23,china
O,23,influence
O,23,australian
O,23,chinese-language
O,23,media
O,23,outlets
O,23,growing
O,23,analysts
O,23,http://t.co/yfsxuoohe3
end,24,end
O,24,good
O,24,morning
B-ORG,24,twitter
O,24,hope
O,24,fantastic
O,24,thursday
end,24,end
B-LOC,24,south
I-LOC,24,australian
O,24,jockey
B-PER,24,caitlin
I-PER,24,forrest
O,24,killed
O,24,fall
B-LOC,24,murray
I-LOC,24,bridge
O,24,race
O,24,http://t.co/7z7swo7uwm
end,25,end
O,25,cousin
O,25,tells
B-PER,25,oscar
I-PER,25,pistorius
O,25,sentencing
O,25,hearing
